55,220
66,50
67,0
80,40
81,10
82,10
109,120
110,10
144,90
155,20
175,90
179,20
195,60
218,50
221,10
224,10
238,50
241,10
243,10
245,20
247,10
255,30
258,20
259,10
261,10
265,10
269,10
280,30
284,20
286,10
300,20
305,10
314,10
335,80
357,50
359,10
361,10
364,10
388,110
395,20
401,30
403,10
405,10
409,10
412,20
414,10
417,20
419,10
421,20
423,10
427,20
432,10
434,0
436,10
440,10
448,10
467,40
469,10
484,20
486,10
492,20
505,30
507,10
509,10
516,20
531,20
538,20
541,0
568,80
608,100
615,20
622,20
625,10
627,10
632,20
635,0
660,70
688,70
690,10
700,30
702,0
704,20
706,10
708,10
710,10
714,10
749,60
780,110
782,10
791,10
820,100
824,10
828,20
831,20
834,10
850,40
853,20
869,10
874,20
877,10
882,20
901,60
908,10
913,10
916,10
920,10
921,0
925,10
928,0
936,10
946,20
950,0
971,60
1056,210
1058,10
1064,10
1070,10
1072,10
1110,80
1112,20
1115,10
1118,20
1123,10
1131,30
1132,10
1167,40
1171,10
1175,10
1177,10
1179,10
1181,10
1204,30
1207,10
1210,10
1223,20
1233,10
1258,60
1260,10
1264,20
1266,10
1268,10
1269,10
1274,20
1283,30
1284,0
1286,10
1288,20
1290,10
1291,0
1304,30
1324,80
1326,10
1331,10
1333,10
1335,20
1345,60
1346,10
1348,20
1362,30
1368,20
1370,20
1372,10
1374,10
1386,20
1389,10
1405,30
1411,10
1412,10
1489,210
1527,60
1532,20
1537,20
1546,40
1548,20
1551,30
1553,10
1555,10
1557,10
1587,40
1596,20
1597,0
1604,20
1610,30
1612,10
1630,40
1632,20
1681,90
1694,30
1696,20
1734,50
1745,10
1913,260
1927,40
1929,10
1933,10
1938,10
1959,10
1966,10
1975,10
2056,70
